time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City,State
2018-03-27,23.1,21.1,25.6,0.0,0.0,70.0,27.4,,1023.1,,Miami,Florida
2018-03-28,22.5,20.6,26.1,0.0,0.0,99.0,25.9,,1021.0,,Miami,Florida
2018-03-29,23.4,21.7,26.7,0.0,0.0,122.0,21.6,,1019.5,,Miami,Florida
2018-03-30,23.9,21.1,27.8,0.0,0.0,129.0,14.8,,1019.3,,Miami,Florida
2018-03-31,24.0,20.6,28.3,0.0,0.0,,10.8,,1018.9,,Miami,Florida
2018-04-01,24.7,22.2,28.3,0.0,0.0,83.0,16.6,,1018.0,,Miami,Florida
2018-04-02,24.2,20.6,28.3,0.0,0.0,96.0,12.6,,1017.0,,Miami,Florida
2018-04-03,24.7,21.7,28.3,0.0,0.0,106.0,16.9,,1017.0,,Miami,Florida
2018-04-04,24.6,22.8,28.3,23.9,0.0,158.0,10.8,,1016.0,,Miami,Florida
2018-04-05,23.7,20.0,28.3,2.0,0.0,5.0,12.2,,1016.4,,Miami,Florida
2018-04-06,24.2,20.0,28.3,0.0,0.0,83.0,13.7,,1016.5,,Miami,Florida
2018-04-07,25.4,21.1,31.1,0.0,0.0,177.0,15.8,,1013.0,,Miami,Florida
2018-04-08,25.3,21.7,31.1,1.0,0.0,221.0,11.2,,1012.6,,Miami,Florida
2018-04-09,26.5,21.1,32.8,0.0,0.0,186.0,12.2,,1015.4,,Miami,Florida
2018-04-10,27.3,22.8,32.8,0.0,0.0,114.0,12.2,,1017.3,,Miami,Florida
2018-04-11,25.0,21.1,30.0,0.0,0.0,342.0,12.2,,1017.4,,Miami,Florida
2018-04-12,23.6,20.6,27.8,0.0,0.0,58.0,18.4,,1019.3,,Miami,Florida
2018-04-13,24.6,21.7,28.3,0.0,0.0,90.0,18.4,,1019.4,,Miami,Florida
2018-04-14,25.7,21.7,30.0,0.0,0.0,119.0,16.9,,1017.6,,Miami,Florida
2018-04-15,27.1,21.7,30.6,5.6,0.0,152.0,23.0,,1016.3,,Miami,Florida
2018-04-16,23.2,16.7,27.8,0.0,0.0,303.0,15.1,,1017.8,,Miami,Florida
2018-04-17,20.3,15.6,26.7,0.0,0.0,12.0,12.6,,1019.6,,Miami,Florida
2018-04-18,22.5,17.2,27.8,0.0,0.0,,11.9,,1019.4,,Miami,Florida
2018-04-19,23.9,20.0,28.9,0.0,0.0,143.0,9.0,,1019.0,,Miami,Florida
2018-04-20,24.7,20.0,31.1,0.0,0.0,208.0,10.4,,1018.8,,Miami,Florida
2018-04-21,25.5,22.2,28.9,0.0,0.0,85.0,14.0,,1019.1,,Miami,Florida
2018-04-22,25.7,22.8,30.0,8.4,0.0,105.0,18.4,,1018.0,,Miami,Florida
2018-04-23,25.2,21.7,28.9,40.9,0.0,135.0,15.1,,1016.5,,Miami,Florida
2018-04-24,26.4,22.8,32.8,0.0,0.0,219.0,10.8,,1014.6,,Miami,Florida
2018-04-25,24.7,20.0,29.4,1.8,0.0,289.0,13.3,,1014.2,,Miami,Florida
2018-04-26,23.3,18.9,28.3,0.0,0.0,240.0,9.7,,1013.9,,Miami,Florida
2018-04-27,24.8,21.1,28.3,13.0,0.0,179.0,6.8,,1012.4,,Miami,Florida
2018-04-28,23.9,19.4,30.0,0.0,0.0,279.0,12.2,,1013.4,,Miami,Florida
